iteration,real,user,sys
1,2.833,0.67,0.555
2,3.606,0.896,0.667
3,3.2,0.754,0.517
4,3.075,0.686,0.538
5,3.208,0.787,0.523
6,3.49,0.946,0.618
7,2.988,0.873,0.625
8,3.422,0.934,0.653
9,2.924,0.757,0.476
10,2.793,0.737,0.519
11,3.018,0.877,0.668
12,3.49,0.916,0.722
13,2.91,0.908,0.635
14,3.349,0.762,0.595
15,3.231,0.827,0.721
16,3.487,0.881,0.72
17,2.993,0.744,0.507
18,4.071,0.956,0.698
19,4.951,0.746,0.596
20,6.955,0.714,0.585
21,7.965,0.889,0.457
22,4.172,0.866,0.528
23,7.432,0.714,0.632
24,4.374,0.809,0.524
25,2.938,0.927,0.626
26,2.914,0.897,0.712
27,3.275,0.776,0.532
28,5.065,0.737,0.581
29,3.573,0.966,0.651
30,2.892,0.995,0.569
31,2.823,0.78,0.503
32,2.746,0.777,0.752
33,2.989,1.033,0.567
34,3.217,1.033,0.585
35,3.769,0.983,0.675
36,2.842,0.737,0.557
37,3.379,1.122,0.717
38,3.461,0.849,0.741
39,3.441,0.889,0.697
40,3.148,0.982,0.627
41,3.129,0.916,0.717
42,2.797,0.749,0.512
43,3.228,0.958,0.676
44,3.189,0.916,0.748
45,3.537,0.96,0.694
46,3.586,0.776,0.585
47,4.104,0.927,0.721
48,3.506,0.909,0.745
49,3.227,0.78,0.572
50,3.494,0.887,0.747
51,3.159,0.817,0.522
52,3.181,0.828,0.535
53,3.442,0.813,0.556
54,3.307,0.707,0.671
55,3.189,0.733,0.612
56,3.709,0.816,0.556
57,3.315,0.746,0.595
58,3.504,0.749,0.612
59,3.025,0.836,0.548
60,3.307,0.791,0.662
61,4.009,0.782,0.651
62,6.113,0.789,0.565
63,9.678,0.873,0.543
64,3.301,0.835,0.553
65,8.257,0.819,0.571
66,4.962,0.825,0.557
67,3.142,0.834,0.535
68,3.939,1.033,0.682
69,4.423,0.885,0.537
70,4.152,1.024,0.648
71,2.867,0.75,0.503
72,3.016,0.726,0.607
73,3.357,0.991,0.704
74,3.196,0.831,0.539
75,3.24,0.812,0.557
76,3.086,1.033,0.684
77,3.469,1.02,0.661
78,3.457,0.931,0.77
79,3.234,0.767,0.587
80,3.319,1.03,0.644
81,3.466,0.792,0.586
82,3.319,1.031,0.705
83,3.333,1,0.645
84,3.413,0.792,0.564
85,3.578,0.87,0.517
86,3.032,0.86,0.519
87,3.181,0.786,0.589
88,3.72,0.753,0.628
89,3.095,0.779,0.582
90,3.007,0.84,0.533
91,3.189,0.811,0.639
92,3.62,0.85,0.551
93,3.878,1.001,0.719
94,3.057,0.853,0.56
95,3.189,0.8,0.595
96,3.08,0.832,0.596
97,3.729,0.827,0.581
98,3.228,0.811,0.585
99,3.233,0.833,0.605
100,3.69,0.923,0.789
